,category,system,instruction,context,question,response
4196,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The library is a quiet place where people can study, read, or simply relax.","Library ek shanti thau ho, jaha manche padhna, kitab herna, ya just relax garna sakincha."
4197,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,"Ek din, ek samudayik sammelan ma Himal ma jeevan ko kathinai ko barema kura gare. Tyasle sabailai ek apuro jeevan ko yathartha sikayo.",Sammelan le Himal ko kathinai ko yathartha sikayo.
4198,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,timi sangai bhako bela dherai ramailo huncha. aba feri kaha ra kahile bheta hune thaha chaina.,"Itâ€™s always fun being with you. Now, I donâ€™t know where or when weâ€™ll meet again."
4199,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Community forest ko role batainus.,Nepal ma forest conservation ko lagi kasari contribute garna sakincha?,"Local community forest groups ma join garnus, awareness program ma involve hunus, ani plantation garnus."
4200,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","kaag, kauwa, pariwa, paani","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Paani paksi hoina, aru tinwota paksi hun."
4201,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timro response ta dherai late aayo.,Your response came very late.
4202,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Mount Everest ko uchai 8,848.86 meters ho. Yo world ko sabai bhanda aglo himal ho ra Nepal ra Tibet ko sima ma parcha.",Mount Everest ko uchai kati ho?,"Mount Everest ko uchai 8,848.86 meters ho."
4203,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali haru Dashain kasari manauchhan?,"Nepali haru Dashain ma tika, jamara lagayera puja path garna, khelna, ra khana manauchhan."
4204,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nuwakot, Kathmandu valley ko north-west side ma cha ra yaha ko Nuwakot Durbar historical site ko roop ma famous cha. Nuwakot ko location Trishuli River ko kinara ma cha, ra yaha bata Langtang Range ko views pani dekhincha.",Nuwakot kahaan cha?,"Nuwakot Kathmandu valley ko north-west side ma cha, ra Trishuli River ko kinara ma located cha."
4205,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Paryatan ko mahatwa bataunus.,"Paryatan le deshko economy strong banauchha, sanskriti ko prachar garchha, ani rojgar dinchha."
4206,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Healthy breakfast recipes kasari try garne?,"Healthy breakfast try garna oats, fruits, ani nuts mix garera ya boiled eggs sanga green tea piune parcha."
4207,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda ujjwal barta Lumbini ho, jo Gautam Buddha ko janmasthal ho. Lumbini ko dharmik aur sanskritik mahatva ho.",Nepal ko sabai bhanda ujjwal barta k ho?,Nepal ko sabai bhanda ujjwal barta Lumbini ho.
4208,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali samudaya ma sammilit ek mahan karya ra tyo ko mahatwa lekhnu.,"Chhaya Center ko nirman Nepali samudaya ko ek mahan karya ho, jasle samudaya karyakram ra sanskritik pradarshan ko suvidha dincha."
4209,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Quantum computing ma qubits le 0 ra 1 duita state ma simultaneously kaam garna sakcha. Abaadi superposition ra entanglement ko concept le processing speed fast huncha.,Quantum computing ma qubits kasari kaam garcha?,Quantum computing ma qubits le superposition ko help le fast processing garna sakcha.
4210,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timi le chai project ko key deliverables finalize gareu?,Did you finalize the key deliverables of the project?
4211,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The museum was filled with ancient artifacts and paintings, each telling a story of a bygone era.","Museum praachin samagri ra painting haru le bharincha, jasma harek ek puraano yug ko katha bhancha."
4212,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha mountain range Himalayas ho, jo duniya ko sabse uncha parbat haru ko ghar ho. Himalayas, Nepal ko ek vishesh pehchaan ho, ra yahaan ko prakritik sundarta duniya bhar ma prasiddha cha.",Nepal ko prasiddha mountain range k ho?,"Himalayas, Nepal ko prasiddha mountain range ho."
4213,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Amazon Kindle Paperwhite, Price: Rs. 14,999, Features: 8GB Storage, Waterproof, 6-Inch Display.",Amazon Kindle Paperwhite waterproof ho?,"Ho, Amazon Kindle Paperwhite waterproof ho."
4214,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,COVID-19 vaccine kasari kaam garcha? Lekhnuhos.,COVID-19 vaccine le hamro immune system lai virus sanga ladauna sikaucha. Aba yo le virus ko weak ya dead particles sikayera protection dincha.
4215,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda popular tourist destination ko naam lekhnus.,Pokhara
4216,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko rajnaitik vyavastha ko kendra Kathmandu ho, jaha Nepal ko rajdhani ra rajnaitik gatividhi haru ko mukhya sthal ho. Kathmandu, jo Nepal ko capital city ho, sabai rajnaitik decision-making process haru ko ghar ho. Nepal ko purna rajnaitik aur vidhayak kriyakalap haru Kathmandu ma hunchan, jaha sabai pramukh political party haru ko office haru chhan.",Nepal ko rajnaitik vyavastha ko kendra ke ho?,"Kathmandu, Nepal ko rajnaitik vyavastha ko kendra ho, jaha sabai rajnaitik nirnay, vidhayak karyakram, ra political parties ko office haru chhan."
4217,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Cashback Offers: Customers must pay using eligible payment methods (credit cards, mobile wallets, or UPI) during the promotional period. Cashback is credited to the customer's wallet or bank account within 48 hours of a successful transaction. Check the 'Offers' section for eligible products and terms.",Kasari cashback offers claim garna sakincha?,Cashback claim garna eligible payment method use garnus. Cashback 48 hours vitra wallet ya bank account ma credit huncha.
4218,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Women's political participation in Nepal is increasing, supported by quotas and awareness campaigns. However, representation in leadership roles is still limited.",Nepal ma women ko political participation ko barema bataunus.,Nepal ma women ko political participation quotas ra awareness campaigns ko support le badhi raheko cha. Tara leadership roles ma representation abhi limited cha.
4219,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile yo course aba suru garna socheko chu.,I am thinking of starting this course now.
4220,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Relaxation ko lagi daily kya garna milcha?,Relaxation ko lagi daily 10-15 minutes deep breathing ya meditation garnu ramro huncha. Favorite music sunne ya book padne le mind refresh huncha. Light yoga ya evening walks le physical ani mental health calm garna sakcha. Stressful thoughts organize garna journaling garne ani positive affirmations repeat garne. Unwind garna screen time limit rakhnu important cha.
4221,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",56,Yo number ko half value nikalnus.,56 ko half value 28 ho.
4222,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Fertilizer subsidy ko procedure ko barema batainus.,Nepal ma farming subsidy kasari pauna sakincha?,"Local agriculture office ma apply garnus, required documents attach garera process garnus."
4223,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","mobile, ghadi, laptop, dahi","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Dahi electronic device hoina, aru tinwota electronic device hun."
4224,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Social media addiction kasari control garne?,"Addiction control garna time limit set garne, notifications band garne ani productive alternatives khojne parcha."
4225,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Gaming laptop return policy defective hardware ko case ma 7 din bhitra applicable cha. Return ko lagi invoice ra original packaging intact hunu parcha. Non-defective products return garna mildaina. Warranty claim process separate cha.,Gaming laptop return policy cha ki nai?,Gaming laptop return policy defective hardware ma 7 din bhitra cha.
4226,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Manchhe haseko cha ra usko ankha khushi le chamkileko cha.,Tyo manchhe ko mood kasto cha bhanera bhannuhos.,Manchhe khushi cha.
4227,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile chai team members sanga follow-up meeting schedule gare.,I scheduled a follow-up meeting with the team members.
4228,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",The traditional dress of Nepal includes 'Daura Suruwal' for men and 'Gunyo Cholo' for women. These are commonly worn during festivals and special occasions.,Nepali traditional dress ko barema bataunus.,Nepali traditional dress ma 'Daura Suruwal' purush haru ko lagi ra 'Gunyo Cholo' mahila haru ko lagi sammilit cha. Yo parva ra special occasions ma lagaincha.
4229,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","biralo, kukur, machha, AC","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","AC janawar hoina, aru tinwota janawar hun."
4230,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Tyo suggestion implement garna dherai practical lagcha.,Implementing that suggestion seems very practical.
4231,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali thulo mandir haru ko naam ra thau lekhnu.,"Pashupatinath Mandir (Kathmandu), Muktinath Mandir (Mustang), Manakamana Mandir (Gorkha), ra Janaki Mandir (Janakpur) thulo mandir haru hun."
4232,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Solar energy ko labh ke ke ho? Lekhnuhos.,"Solar energy bhaneko pollution-free ra unlimited energy ho. Aba yo ghar ko electricity, water heating, ani industries ma use garna sakinchha."
4233,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","kukur, haatti, bakra, taara","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Taara janawar hoina, aru tinwota janawar hun."
4234,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko body ma sabai bhanda dherai water kaha cha?,Cell ma.
4235,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Lamjung district ko Besisahar, popular trekking route ko entry point ho, jaha Annapurna Circuit trek start garne hikers haru anek time stop garne garne cha. Besisahar ko location Marshyangdi River ko kinara ma cha, ra yaha ko natural beauty trekking ko lagi famous cha.",Besisahar kahaan cha?,"Besisahar Lamjung district ma cha, ra Annapurna Circuit trek ko entry point ho."
4236,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,School uniform ko color fade huda kasari bachaune?,"Clothes light detergent ma dhune, dhoop ma dherai parkayera nasukhaune ani gentle cycle ma wash garne."
4237,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The mother bird carefully fed her chicks and watched them grow day by day.,Aama chara le afno bachha haru lai ramrari khana khuwaera din dinai ramailo hercha.
4238,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",36,Yo sankhya ko gunankhand haru patta laganuhos.,"36 ko gunankhand haru: 1, 2, 3, 4, 6, 9, 12, 18, 36."
4239,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha. Refund ka lagi cancelation confirm bhaepachi 5-7 din lagcha. Discounts festive sale ko up to 70% cha.,Delivery slot reschedule possible cha ki nai?,Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha.
4240,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Human brain ko kaam kasari huncha? Lekhnuhos.,"Human brain bhaneko body ko control center ho. Aba yo le sochnu, smaran, movement, ani feelings ko command dincha."
4241,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Water cycle kasari kaam garcha?,"Evaporation, condensation ra precipitation le."
4242,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi ghar ma cooking garne bela ke kura dhyan dinu parcha?,"Cooking garne bela hygiene maintain garne, ingredients fresh rakhne, recipe follow garne ani gas stove properly handle garne."
4243,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Refund Policy: Refund available within 7 days of delivery for defective products only.,Refund policy kasto cha?,Defective product ko lagi 7 din vitra refund available cha.
4244,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali balbalika haru ko lagi ek ramailo khel ko naam ra tyo khel ko mahatwa lekhnu.,"Ghato Bhato balbalika ko ramailo khel ho, junle teamwork ra strategy ko sikai dincha."
4245,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Order cancel garna 'My Orders' section ma jancha, jun order cancel garna cha, tyo ma cancel button click garera process complete huncha. Dispatch bhayepachi cancel garna mildaina, tarika delivery refuse gareko case ma refund policy lagu huncha. Cancel request confirm bhaye refund processing time 7 working days cha.",Order cancel garna kasari garna milcha?,Order cancel garna 'My Orders' section ma cancel option select garna milcha.
4246,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Lumbini Gautam Buddha ko janmabhumi ho. Yo sthal ma anek aaitihasik avashesh haru dekhna sakinchha.,Lumbini Buddha ko janmabhumi ho ra aaitihasik avashesh haru chhan.
4247,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Health infrastructure in Nepal is being improved with new hospitals, telemedicine facilities, and training programs for healthcare workers.",Nepal ma health infrastructure development ko barema bataunus.,"Nepal ma health infrastructure hospitals, telemedicine facilities, ra healthcare workers ko lagi training programs ko madhyam le sudhari raheko cha."
4248,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The aroma of freshly baked bread filled the kitchen as she carefully took it out of the oven.,Taaja pakeko roti ko sugandha kitchen bharincha jaba usle bistarai oven bata nikalcha.
4249,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile uslai k bhanne ho tha chaina.,I donâ€™t know what to say to him.
4250,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Physics ko meaning kasari bujhaune bhanera lekh.,"Physics bhaneko science ko branch ho jun duniya ko gati ra sabai physical kura ko study garcha. Jastai, light, gravity, speed jasari kaam garcha, tyo sabai ko kura bujhaune ho."
4251,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,aaja shopping mall ma dherai crowded thiyo. tyo offer ko lagi sabaile line lagya jasto lagyo. aba ta online shopping nai ramro ho jasto cha.,The mall was so crowded today. It seemed like everyone was lining up for that offer. I feel like online shopping is better now.
4252,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile ajhai tyo project ko overview herna baaki cha.,I still need to review the overview of that project.
4253,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile chai proposal revise garna thap time request gare.,I requested additional time to revise the proposal.
4254,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Tyo meeting ta dherai productive thiyo.,That meeting was very productive.
4255,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha khana momo ho, jo ek prakar ko dumplings ho. Momo ko andhar ka bhari ma mamsa ya sabji rakhincha ra yehan haru ko anand liyera khincha.",Nepal ko prasiddha khana ko naam k ho?,"Momo, Nepal ko prasiddha khana ho, jo ek prakar ko dumplings ho."
4256,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,"Timi bike chalauchhau, petrol kasto low cha vane k garne?",Petrol low cha vane najikai ko petrol pump herera refill garne.
4257,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha folk dance Lakhey Dance ho, jo Newar samudaay ma prasiddha cha. Lakhey Dance, ek traditional mask dance ho, jaha log haru rangin mask lagayera nachchhan.",Nepal ko prasiddha folk dance k ho?,"Lakhey Dance, Nepal ko prasiddha folk dance ho."
4258,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Timi timro favorite song sunera relax garne kasari garne?,"Favorite song sunera relax garna, headphones use garne, bed ma basera enjoy garne."
4259,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Computer reset garne process bataunuhos.,"Computer reset garna, settings kholnu hos, 'System' ma januhos, ani 'Reset PC' option select garera direction follow garnuhos."
4260,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali parvatiya kshetra ma basne ek janajati ra unko jeevan shaili lekhnu.,"Gurung janajati Nepali parvatiya kshetra ma baschhan, unko jeevan shaili krishi, pashupalan, ra ghumi-ghumi karyarath basai ma adharit chha."
4261,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Cooking ma beginners le kasari suru garne?,"Beginners le cooking suru garna basic recipes jastai rice, dal, ani curry practice garne. Measuring tools ko use garera accurate ingredients add garna siknu parcha. Pre-prepped ingredients rakhera time save garna milcha. YouTube tutorials ya cooking apps le step-by-step guide provide garcha. Regular practice ani patience le cooking skills improve garcha."
4262,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko chhaad haru ma prayog hune kapada ko naam lekhnu.,"Dashain ra Tihar ma daura suruwal, gunyo cholo, ra dhoti kurta jasto kapada prayog huncha."
4263,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Bike ko mileage kasari badhaune?,"Bike ko mileage badhauna time ma servicing garna, ramro petrol use garna ra halka speed ma drive garna parcha."
4264,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,50 ma 10 jodne ho bhane kati hunchha?,50 ma 10 jodne ho bhane 60 hunchha.
4265,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"aaja ko workout routine ekdam challenging thiyo. maile chai first time strength training try gare, tara post-workout feeling chai ekdam satisfying lagcha.","Today's workout routine was very challenging. I tried strength training for the first time, but the post-workout feeling is so satisfying."
4266,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma paaila lagne earthquake ko major fault line kata cha?,Main Frontal Thrust (MFT).
4267,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Quantum physics ko barema ke thaha chha? Lekhnuhos.,Quantum physics bhaneko atom ra subatomic particles ko behavior ko adhyayan ho. Yo le light ra matter kasari kaam garcha bhanne bujhauna madat garcha.
4268,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha rajasik sanskritik karyalaya Bhaktapur Durbar Square ho, jo Kathmandu Valley ma sthit cha. Bhaktapur Durbar Square ko bhawan haru, mandir haru aur purana itihasik drishya Nepal ko rajasik ra sanskritik virasat ka pratibimb haru ko roop ho.",Nepal ko ek prasiddha rajasik sanskritik karyalaya k ho?,"Bhaktapur Durbar Square, Nepal ko ek prasiddha rajasik sanskritik karyalaya ho, jo Kathmandu Valley ma sthit cha."
4269,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,56 ÷ 8 ko answer kati ho?,56 ÷ 8 ko answer 7 ho.
4270,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timro idea chai dherai ramro lagcha.,Your idea seems really good.
4271,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Nepali sanskriti ma lok katha haru le mahatwapurna sthaan rakheko chha. Yo hami nepali haru ko itihas sang sambandhit chha.,Nepali sanskriti ma lok katha itihas sang sambandhit chha.
4272,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timi le chai naya update ko link share gareu?,Did you share the link to the new update?
4273,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tapai kasari app download garna saknuhuncha?,App Store ya Play Store kholnus ani desired app search garera install garnus.
4274,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda popular festival kun ho?,Dashain.
4275,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Motorbike ko servicing kasari garne?,"Authorized workshop ma bike lagne, oil change, filter clean, ra brake check garne."
4276,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda thulo festival ko naam ke ho?,Dashain
4277,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko pramukh bhasha Nepali ho, jo Nepal ko rashtriya bhasha ra gramin kshetra ko ek mahatvapurn bhasha ho. Nepali bhasha ko vyavahar, shiksha aur media ma ra pratyek kshetra ma pramukh cha. Nepali bhasha le Nepal ko rajnitik, samajik ra sanskritik sthiti ko ek mahatvapurn chha.",Nepal ko pramukh bhasha ke ho?,"Nepali, Nepal ko pramukh bhasha ho, jo rashtriya bhasha ra samajik aur rajnitik sthiti ma mahatvapurn chha."
4278,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda popular pilgrimage site ko naam ke ho?,Muktinath
4279,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Mount Everest climb garnu ekdam tough task ho. Aba manche haru physical fitness ra sherpa ko madat le summit garcha. Aba uniharu le tyaha ko challenging weather sanga battle garna parcha.,"Mount Everest climb ma fitness, sherpa ko madat, ra weather battle garna parcha."
4280,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,We decided to host the conference in a central location to make it convenient for all participants to attend.,Hami le sabai bhaagidar lai aasan parne gareko ek kendriya sthaan ma sammelan ayojana garne nirdharit garayo.
4281,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali bhasha ma ek prasiddha vaakya ra tyo ko artha lekhnu.,"'Sambodhan ho' ek prasiddha Nepali vaakya ho, junle samman ra abhinandan ko artha garcha."
4282,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile chai recent update ko email receive gare.,I received the email about the recent update.
4283,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The moonlit path through the forest was enchanting, with the soft glow of the moonlight casting mysterious shadows on the trail.","Jungle ma chaandni batoh jadu ko jasto thiyo, jaha chaandni ko naram ujyaalo le bato ma rahasya janmaune chhaya haleko thiyo."
4284,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda prasiddha wildlife park Chitwan National Park ho, jo rhino, tiger, ra anek wildlife species ko ghar ho. Chitwan National Park, UNESCO World Heritage Site ho, jaha wildlife safaris, bird watching, ra nature walks garne avasara milcha. Yaha ko rhino safaris, tiger sightings, ra anek prakritik drishya le paryatak haru ko akarshan banaya ko cha.",Nepal ko sabai bhanda prasiddha wildlife park k ho?,"Chitwan National Park, Nepal ko sabai bhanda prasiddha wildlife park ho, jaha wildlife safaris, rhino sightings, ra prakritik safar garincha."
4285,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma trekking garda oxygen kam lagne cha bhane k garne?,"Trekking garda oxygen kam lagne bhane slow hike garne, water hydrate garne ani rest garne."
4286,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko sabai bhanda dherai mittho mithai kun ho?,Yomari.
4287,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"She patiently waited for the train, watching the people around her, each busy with their own lives.","Usle train ko pratiksha dhairyata sanga garyo, charipati manche haru hercha, jun sabai afno afno jindagi ma byasta."
4288,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,ke cha?,What's up?
4289,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile kehi naya siknu chaheko thiye.,I wanted to learn something new.
4290,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma ‘Water’ ko translation ke ho?,Pani
