category,instruction,context,question,response
RAG,Answer the following question by looking at the context if context is given.,"Product ko related items herna product ko page ma 'Related Products' section hernu hos. Tyaha tapai le similar products, accessories, ra frequently bought together items herna sakchha. Related items haru product ko category ra brand ma depend garchha.",Store ma product haru ko related items kasari herna sakincha?,Product ko page ma 'Related Products' section hernu hos. Similar products ra accessories hunchha.
open_qa,You are a helpful assistant. Answer the given user question.,,Timi kunai prasna ko javaph deu ki timro manparne parva k ho.,"Mero manparne parva Dashain ho, kina bhane yo parva ma pura parivar jamma hunchha, ra dherai ramailo, khelkud ra masu khana paainchha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Maile ajhai tyo project ko overview herna baaki cha.,I still need to review the overview of that project.
translate,Translate the text below from English to Nepali:, ,What time is it?,Kati bajyo?
translate,Translate the text below from Nepali to English:, ,"Ramro nindra ko fayeda ma smriti sudharna, mood ramro huna, ra samanya swasthya sudharna samet chan.","The benefits of a good night’s sleep include improved memory, mood, and overall health."
RAG,Answer the following question by looking at the context if context is given.,"Gadget Store Nepal, Itahari le abaileko festive sale ma discount chaina. Tapai haru le mobile phones, laptops ra gaming accessories ko latest collection dekhna saknu hunchha. Delivery free cha Itahari ma.",Festive sale ma discount cha?,"Festive sale ma discount chaina, tara latest collection cha."
translate,Translate the text below from Nepali to English:, ,"Nepal maa shiksha lai dherai mulya dincha, ra dherai parivar le afnaa bachalaharulai ramro avasar pradan garna khojchhan. Tara, gaunbasi kshetra maa ramro shiksha ko pahunch ek chunauti ho. Desh bhar maa shiksha pranali lai sudharna ka lagi prayas gariyeko cha.","Education is highly valued in Nepal, and many families strive to provide their children with the best opportunities. However, access to quality education remains a challenge in rural areas. Efforts are being made to improve the education system across the country."
translate,"Translate the given text from Roman Nepali language to English language.
",,kina dhilo pugis?,Why did you arrive late?
RAG,Answer the following question by looking at the context if context is given.,"Hamro Pasal ma keti haru ko modern kapada upalabdha chha. Hamro pasal Kathmandu ma chha, ra yo online order pani dinchha. Hamro kapada ko material high-quality ho, ra hamro pasal ma 7 din ko return policy chha.",ke hamro pasal online order dinchha?,"Ho, hamro pasal online order dinchha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma gaming keyboards available cha: Razer BlackWidow (Price: 15000), Logitech G Pro (Price: 12000), ra Corsair K95 RGB (Price: 18000). Sabai keyboards mechanical switches ma cha.",Store ma gaming keyboards available cha?,"Ho, gaming keyboards available cha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Padhai kasari chaldai cha?,How's your study going?
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra. Hamro stock ma gaming laptops, DSLRs, ra home audio systems pani chha.",Tapai ko ma Dell laptop available chha?,"Yes, hamro store ma Dell Inspiron ra Dell XPS series ko laptops available chhan."
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Monitor UltraX Pro, Accessories: HDMI Cable, Power Adapter, User Manual. Competitor Comparison: Similar products include a VGA cable. Usage Tip: Use the provided accessories for optimal performance. Warranty: 1 year. Delivery Time: 1-2 days in Kathmandu.",Monitor UltraX Pro ko accessories k k cha?,"Monitor UltraX Pro sanga HDMI cable, power adapter, ra user manual auncha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma high-performance gaming laptops pani available chhan. Asus ROG Strix, MSI Stealth ra Dell Alienware jasta laptops stock ma chhan.",TechWorld Electronics ma kun kun gaming laptop brands available chha?,"Asus ROG Strix, MSI Stealth, Dell Alienware."
translate,"Translate the given text from Roman Nepali language to English language.
",,hamro purano ghar ko photo haru herera dherai nostalgia lagyo. tini din haru ko yaad dherai miss garchu.,Looking at the old pictures of our house made me feel very nostalgic. I really miss those days.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"She customized her smartphone with unique wallpapers and widgets, giving it a personal touch.",Usle afno smartphone lai aneka wallpapers ra widgets haru le customize garera afno personal touch diyeko thiyo.
open_qa,You are a helpful assistant. Answer the given user question.,,World ko sabai bhanda dherai muskan dine animal kun ho?,Dolphin.
translate,Translate the text below from English to Nepali:, ,Nepali folk music represents culture and tradition.,Nepali folk music ma culture ra tradition ko identity huncha.
translate,"Translate the given text from English language to Roman Nepali language.
",,"The elderly storyteller captivated the children with tales of mythical creatures and heroic deeds, painting vivid images in their minds with every word.","Buddha kathakar le bachha haru lai kalpana ko prani ra birata ko kaam ko katha sunayera manohar banaye, jasko pratek sabda uniharuko mann ma jivanta tasbir banai."
RAG,Answer the following question by looking at the context if context is given.,"MobileCare, Itahari-2, Buspark Line ma sabai thari mobile accessories ra repair service provide garchhau. Hami budget ra premium smartphones rakchhau.",MobileCare ma Vivo V29 Pro cha?,"Vivo V29 Pro available chha. Price: Rs. 49,500. Model: 12GB RAM, 256GB storage. Warranty: 1 barsha ko chha."
RAG,Answer the following question by looking at the context if context is given.,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment gateway kasari check garna sakchu?,"Hajur, payment gateway check garna mildaina. Website ma updates ko lagi hernu hola."
RAG,Answer the following question by looking at the context if context is given.,"Platform ma automotive spares jasari brake pads, spark plugs, ra air filters available cha. Delivery 4-8 din samma cha, ra return policy unused items ko lagi 10 din samma cha. Product compatibility details product page ma mentioned huncha.",Spark plug ko car model compatibility kasari check garna sakchhu?,Spark plug ko compatibility product page ma 'Specifications' section check garera thaha pauna sakchhu.
translate,Translate the text below from English to Nepali:, ,I feel like buying a new phone. I’m thinking about the iPhone 15.,Malai naya phone kinne ichcha cha. Aba iPhone 15 ko barema sochiraheko chu.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"She stayed up late, staring at the stars, wondering about the mysteries of the universe.","Usle derai bela samma sutina, tara taara herdai, sansar ko rahasya haru bare socdai."
RAG,Answer the following question by looking at the context if context is given.,"Lenovo ThinkPad X1 Carbon ek business-class ultrabook ho. Yesko price 180000 ho. Yesma Intel i7 processor, 16 GB RAM, 1 TB SSD, ra 14-inch 4K display available cha.",Lenovo ThinkPad X1 Carbon laptop ko features ke ho?,"Lenovo ThinkPad X1 Carbon ko features ho: Intel i7 processor, 16 GB RAM, 1 TB SSD, ra 14-inch 4K display."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali ko ek famous author ko naam dinus.,Laxmi Prasad Devkota.
RAG,Answer the following question by looking at the context if context is given.,Tech Hub Nepal le festive season ma 5% discount cha mobile phones ra laptops ma. Tapai le yeh discount Kathmandu ma paunuhunchha.,Festive season ma kati discount cha laptops ma?,Festive season ma 5% discount cha mobile phones ra laptops ma.
RAG,Answer the following question by looking at the context if context is given.,JBL Charge 5 speaker IP67 water resistance rating le aaune hunale pani waterproof ho.,Bluetooth speaker waterproof cha?,"Ho, JBL Charge 5 speaker waterproof ho."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda rajasik rajdhani Kathmandu ho, jaha rajasik sarkari nirnay ra rajakiya gatividhi haru ko kendra ho. Kathmandu ma Nepal ko sabai rajasik prashasan, ministry, aur government offices haru sthit cha. Kathmandu ko rajasik mahatva Nepal ko rajnaitik vyavastha ko ek mahatvapurn ang ho.",Nepal ko sabai bhanda rajasik rajdhani k ho?,"Kathmandu, Nepal ko sabai bhanda rajasik rajdhani ho, jaha rajasik sarkari nirnay ra government offices haru sthit chhan."
translate,Translate the text below from English to Nepali:, ,"In society, many people silently endure their problems. This is a major issue.",Samaj ma dherai jana le afno samasya haru lai chupchaap sahanchan. Yo chha ek thulo samasya.
translate,Translate the text below from English to Nepali:, ,The concept of 'Seva' or selfless service is deeply valued in Nepali culture.,'Seva' ya nishkam seva ko concept Nepali sanskriti ma gahiro samma mulyankan gariieko cha.
translate,"Translate the given text from Roman Nepali language to English language.
",,Tyo event ko decoration ta dherai unique thiyo.,The decoration of that event was very unique.
RAG,Answer the following question by looking at the context if context is given.,"Redmi Note 11 Pro (Price: 25000) ma 108 MP primary camera, 8 MP ultrawide lens, ra 16 MP selfie camera cha. Display 6.67-inch Super AMOLED cha.",Redmi Note 11 Pro ko camera specs kasto cha?,Redmi Note 11 Pro ma 108 MP primary ra 16 MP selfie camera cha.
translate,Translate the text below from English to Nepali:, ,AI is being used to improve disaster preparedness. Predictive models powered by AI can analyze data to forecast natural disasters and help communities prepare in advance.,AI le disaster preparedness improve garna use hudai chha. AI-powered predictive models le data analyze garna sakchhan natural disasters forecast garna ra communities lai advance maa prepare garna madad garchha.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"The small restaurant near the corner serves the best momos in town, and the service is great.","Konera ko naya restaurant le sabai bhanda ramro momo dincha, ani service pani dami cha."
RAG,Answer the following question by looking at the context if context is given.,"Asus ROG Phone 7 Ultimate ek gaming-focused smartphone ho. Yesko price 150000 ho. Yesma Snapdragon 8 Gen 2 processor, 16 GB RAM, 165 Hz AMOLED display, ra 6000 mAh battery cha.",Asus ROG Phone 7 Ultimate smartphone ko features ke ho?,"Asus ROG Phone 7 Ultimate ko price 150000 ho. Yesma Snapdragon 8 Gen 2 processor, 16 GB RAM, 165 Hz AMOLED display, ra 6000 mAh battery cha."
RAG,Answer the following question by looking at the context if context is given.,"TechBazaarNepal, Kathmandu-2, Maitighar ma electronics showroom cha. Kathmandu ko sabai wards ma free delivery garna sakinchha. Pokhara, Biratnagar, ra Chitwan ma delivery garna charge lagcha.",Kathmandu ma free delivery garne cha?,Kathmandu ma delivery free cha.
translate,"Translate the given text from Roman Nepali language to English language.
",,yo semester ta ekdam garho lagyo. assignments haru timely submit garnu parcha ani classes pani miss garna mildaina. tara aba feri yesto busy time ma ramailo garna man lagcha.,"This semester felt really tough. Assignments had to be submitted on time, and classes couldn't be missed. But now I feel like enjoying myself in this busy time."
RAG,Answer the following question by looking at the context if context is given.,"Dhangadhi Electronics Mart, LN Chowk ma cha. Hamro store smartphones, laptops, ra premium headphones rakhne garauchha. Free delivery ra repair service pani dinchau.",Tapai ko taraf bata aile ko trending products ke ke ho?,"Dhangadhi Electronics Mart ma iPhone 14 Pro, MacBook Air M2, ra Sony WH-1000XM5 trending products cha."
open_qa,You are a helpful assistant. Answer the given user question.,"daal, daal, chatamari, momo","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Momo chatamari hoina, aru tinwota chatamari ho."
open_qa,You are a helpful assistant. Answer the given user question.,"tara, chandra, surya, kitaab","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Kitaab aakash ma huney chij hoina, aru tinwota aakash ma huney chij hun."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store DigitalDeals Dharan-4, Putali Line ma chha. Yaha gaming laptops, monitors, printers, mobile accessories jasta electronics saman reasonable price ma paainchha. Hami delivery Dharan bhitra free garchhau.",Hajurko pasal ma k k saman paucha?,"Hamro pasal ma gaming laptops, monitors, printers, ra mobile accessories paainchha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sabai bhanda popular tourist destination ko naam lekhnus.,Pokhara
translate,Translate the text below from English to Nepali:, ,Today my laptop battery drains very quickly. I need to buy a new one.,Aaja mero laptop ko battery ekdamai chito sakincha. Naya kinna parne bhaeko cha.
RAG,Answer the following question by looking at the context if context is given.,Payment Reminder: Reminders cannot be disabled. Usage Tip: Pay on time to avoid reminders.,Payment garna ko lagi payment reminder kasari disable garna sakchu?,"Hajur, payment reminder disable garna mildaina. Time ma tirnu hola reminder bata bachna ko lagi."
RAG,Answer the following question by looking at the context if context is given.,"Product: Samsung Galaxy S21, Price: Rs. 99,999, Features: 5G, 128GB, Black Color.",Samsung Galaxy S21 ko price k ho?,"Samsung Galaxy S21 ko price Rs. 99,999 ho."
translate,Translate the text below from English to Nepali:, ,"The weather today is quite pleasant, with a gentle breeze and clear skies.","Aajko mausam dherai ramro cha, sajilo hawa ra safa aakash cha."
translate,"Translate the given text from English language to Roman Nepali language.
",,"The long train journey passed by quickly as the passengers chatted, read books, and watched the beautiful landscapes through the windows.","Lamo rail yatra chito bitiyo jaba yatri haru kura garna, kitab padhna ra jhyal bata ramro drishya herna byasta thiye."
RAG,Answer the following question by looking at the context if context is given.,Bank Offers: Check with your bank for ongoing offers. Usage Tip: Use Credit/Debit Card for bank-specific discounts.,Payment garna ko lagi bank offer cha ki nai?,"Hajur, tapailo bank ma ongoing offers cha ki nai check garnuhos. Credit/Debit Card use garda bank-specific discounts pauna sakincha."
RAG,Answer the following question by looking at the context if context is given.,"BiratNagarElectronics, Biratnagar-5, Main Road ma hami mobile phones, sound systems, ra smartwatches ko collection rakhchhau. Hamro pasal branded items matra bechchha ra warranty saath dinchhau.",BiratNagarElectronics ma k k saman available chha?,"Hamro pasal ma mobile phones, sound systems, ra smartwatches available chha."
translate,"Translate the given text from Roman Nepali language to English language.
",,"yo saal ta ekdam memories create hune jasto lagcha. sabai new experiences ko lagi ready hunu parcha, ani aba chai positivity le aagadi badhne bela cha.","This year feels like it will be full of memories. We have to be ready for new experiences, and now it's time to move forward with positivity."
RAG,Answer the following question by looking at the context if context is given.,"Gift card redeem garna checkout page ma 'Apply Gift Card' option ma card code halnuparcha. Tespachi, card ko balance deduct huncha. Discounts haru 'Deals' section ma available hunchha. Order inquiry ko lagi 'My Orders' ma gaera order status check garnuhos.",Gift card kasari redeem garne?,Checkout page ma 'Apply Gift Card' option ma card code halnuhos ra balance deduct hunecha.
summary,Summarize the following text:,,"Avengers: Endgame ma Iron Man le Thanos sanga battle garera universe bachcha. Aba usle Infinity Stones use garera snap garchha, tara tyo act le usko life sacrifice garcha.",Avengers: Endgame ma Iron Man le universe bachcha ra apno life sacrifice garcha.
translate,"Translate the given text from English language to Roman Nepali language.
",,"The adventurous family set out early in the morning to explore the dense forest, equipped with maps, backpacks, and a spirit of curiosity.","Romanchak parivar bihana chadai gahirai jungle ko khoj garnu niskera, jaha mapa, jhola ra utshukta ko bhaaw liyejasto thiyo."
open_qa,You are a helpful assistant. Answer the given user question.,"pankha, fan, ghanti, paat","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Paat hawa chalne chij hoina, aru tinwota hawa chalne chij hun."
translate,Translate the text below from English to Nepali:, ,The importance of preserving natural habitats for biodiversity and ecological balance cannot be ignored.,Biodiversity ra prakritik santulan ko lagi prakritik basasthan haru sanrakshan garna ko mahattva lai upakma linu hunna.
RAG,Answer the following question by looking at the context if context is given.,"Hamile express delivery option provide garchhau, jasle Kathmandu bhitra 1 din ma ra Kathmandu bahira 2 din ma delivery garchha.",Tapaiharu ko delivery option fast cha ki?,"Ho, express delivery option chha, Kathmandu bhitra 1 din ma delivery huncha."
translate,"Translate the given text from Roman Nepali language to English language.
",,Ke tyo jacket maile kinney ho?,Is that jacket the one I bought?
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali ma ek prasiddha food dish ko naam dinus.,Daal Bhat Tarkari.
RAG,Answer the following question by looking at the context if context is given.,"OnePlus Buds Pro (Price: 15000) ma 7 hours playback time, 38 hours with charging case, active noise cancellation, ra Bluetooth 5.2 support cha.",OnePlus Buds Pro ko battery life kati ho?,OnePlus Buds Pro ko battery life 38 hours samma ho.
RAG,Answer the following question by looking at the context if context is given.,"Lumbini, Gautam Buddha ko janma sthal, Nepal desh ma parcha. Yo UNESCO World Heritage Site ho.",Lumbini kun desh ma parcha?,Lumbini Nepal ma parcha.
RAG,Answer the following question by looking at the context if context is given.,"SamanBazaar in Itahari-8, College Road, is a trusted name in electronics retail. We offer a diverse range of products, including mobile phones, laptops, and accessories. Our headsets collection features noise-canceling, wireless, and gaming options. We also provide free delivery within Itahari and offer warranties on all our products.",Hajurko ma kun kun model ka headsets available chha?,"Hamro store ma Bose QuietComfort Earbuds, Sony WF-1000XM4, ra JBL Reflect Mini NC available chhan."
RAG,Answer the following question by looking at the context if context is given.,"GadgetStore, Chitwan-1, Narayanghat bata saman Kathmandu ko Upatyaka bhitra delivery free chha. Baaki Nepal ka thau haruma delivery charge applicable chha.",Tapaiharu le Kathmandu ma free delivery dinu huncha?,"Ho, Kathmandu ko Upatyaka bhitra free delivery available chha. Baaki thau haruma delivery charge lagcha."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma sabai bhanda lambai ko pool kun ho?,Koshi Barrage.
summary,Summarize the following text:,,"Mustang ma ek pahadi katha sunne afasar ayo, jaha unharu ko sanskriti ra lok geet haru ko katha ko mahatwa samjhiyeko thiyo.",Mustang ma katha le sanskriti ra lok geet ko mahatwa samjhaune thiyo.
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 11223, Specifications: 5.5-inch display, 64GB storage, 8GB RAM, 48MP camera. Battery: 5000mAh, Fast Charging: Yes. Competitor Comparison: Similar to Product ABC but with better battery life. Usage Tip: Use dark mode to save battery.",Yo product ko specifications k k cha? Product ID: 11223,"Product ID: 11223 ko specifications yas prakar cha: 5.5-inch display, 64GB storage, 8GB RAM, 48MP camera. Yo sanga 5000mAh battery ra fast charging feature cha. Product ABC jastai cha tara yo ko battery life ramro cha. Battery bachauda dark mode use garnu ramro huncha."
translate,"Translate the given text from English language to Roman Nepali language.
",,"The shopkeeper arranged the fruits neatly on the counter, calling out to customers and offering them the freshest produce at a good price.","Pasale le falful haru ramro sanga counter ma rakhera, grahak haru lai bolaayera sabai bhanda taja saman ramro mulya ma dinthyo."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The baby smiled brightly when her mother gave her a new toy to play with.,"Bachha ko aama le naya toy diyo khelna, ani bachha khusi hune."
open_qa,You are a helpful assistant. Answer the given user question., ,Namaste k cha?,Namaste! Sabai ramro cha. Aba tapai ko shopping ma kasari sahayog garna sakchhu?
translate,Translate the text below from Nepali to English:, ,Aaghatit paristhitiko karanle bhetghat arko hapta samma sarkiye ko cha.,The meeting has been postponed until next week due to unforeseen circumstances.
translate,Translate the text below from Nepali to English:, ,Malai aaja shopping garna man lagcha. Naya luga kinna ichcha cha.,I feel like going shopping today. I want to buy new clothes.
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 67890, Name: Wireless Headphones, Price: NPR 5,000.",Yo product ko price kati ho? Product ID: 67890,"Product ID: 67890 ko price NPR 5,000 ho."
RAG,Answer the following question by looking at the context if context is given.,"TechShop, Kathmandu-4, Bhaktapur Road ma electronics showroom cha. Kathmandu ko sabai wards ma free delivery garna sakinchha. Aba, Pokhara, Chitwan, ra Biratnagar ma delivery charge lagcha.",Pokhara ma delivery charge lagcha?,"Ho, Pokhara ma delivery charge lagcha."
RAG,Answer the following question by looking at the context if context is given.,"Gadget World, Dharan ma abaileko offer ma gaming laptops ra smartwatches ma 10% discount cha. Hami le smartwatches ko collection ma Apple Watch ra Samsung Galaxy Watch rakheko cha. Delivery Kathmandu ma free cha, aru places ma delivery charge applicable cha.",Tapai haru ko store ma smartwatches ma discount cha?,Smartwatches ma 10% discount cha gaming laptops ra smartwatches ma.
RAG,Answer the following question by looking at the context if context is given.,"Nepal's road infrastructure is developing, but many rural areas still lack proper roads. The highways like Prithvi Highway and Araniko Highway connect major cities.",Nepal ma road infrastructure ko barema jankari dinus.,"Nepal ma road infrastructure developing stage ma cha, tara dherai rural areas ma proper roads chaina. Prithvi Highway ra Araniko Highway le thulo cities lai connect garcha."
summary,Summarize the following text:,,The Flash movie ma Barry Allen le time travel garna sikcha. Aba usle past ma gaera apno mistakes thik garna khocha. Tara usle realize garcha ki time change garda future ko problem ma asar parcha.,"The Flash ma Barry le time travel garera mistakes fix garna khocha, tara problem create huncha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma delivery all Nepal available xa, delivery 2-3 days samma lagna sakxa.",Delivery service chha ki chhaina?,Delivery all Nepal available xa.
translate,Translate the text below from Nepali to English:, ,"Volunteering ko benefits ma personal growth, skill development, ra fulfillment ko bhavana samet chan.","The benefits of volunteering include personal growth, skill development, and a sense of fulfillment."
RAG,Answer the following question by looking at the context if context is given.,"Pokhara ko Fewa Taal Nepal ko duisro sabai bhanda thulo taal ho. Yo taal ko chheuma tal barahi mandir chha, jun taal bhitra ko ek chhoto tapu ma sthit chha.",Fewa Taal ma ke prasiddha chha?,"Fewa Taal ma Tal Barahi Mandir prasiddha chha, jun taal bhitra ko tapu ma chha."
RAG,Answer the following question by looking at the context if context is given.,"Product: Acer Predator Helios 300, Price: Rs. 1,48,000, Features: Intel i7, 16GB RAM, RTX 3060.",Acer Predator Helios 300 gaming laptop ho?,"Ho, Acer Predator Helios 300 gaming laptop ho."
translate,"Translate the given text from Roman Nepali language to English language.
",,"yo assignment complete garna ta pura dedication lagcha. ma ta last minute procrastination garna banda gare, ani aba chai disciplined routine banauna parcha.","This assignment requires complete dedication. I've stopped last-minute procrastination, and now I need to create a disciplined routine."
RAG,Answer the following question by looking at the context if context is given.,"Platform ma musical instruments jasari guitars, keyboards, ra drums available cha. Delivery timing 5-8 din samma ho, ra sabai instruments warranty sanga aauchha. Repair services authorized centers ma available cha.",Guitar ko repair service authorized center ko details kasari pauna sakchhu?,Guitar ko repair service authorized center details invoice ma ya customer support bata pauna sakchhu.
RAG,Answer the following question by looking at the context if context is given.,"Daikin AC ma inverter technology cha, jasle energy consumption reduce garna madad garcha ra efficient cooling provide garcha.",K yo AC ma inverter technology cha?,"Ho, Daikin AC ma inverter technology cha."
open_qa,You are a helpful assistant. Answer the given user question.,,Hawa taap dherai chiso cha vane gharma k garne?,Gharma heater chalayera taap maintain garne ani thick kapada lagne.
RAG,Answer the following question by looking at the context if context is given.,"Tech Arena, Lalitpur, le gaming laptops ma 10% discount Dashain offer ma provide garcha. EMI ko lagi special zero-interest plan available cha.",Tapai haru ko gaming laptops ma Dashain ko discount cha?,Gaming laptops ma Dashain offer ma 10% discount cha.
open_qa,You are a helpful assistant. Answer the given user question.,,Yatra ko lagi Nepal ma kun mausam sabai bhanda ramro ho?,Basanta (March-April) ra Sharad (October-November) Nepal yatra ko lagi sabai bhanda ramro mausam ho.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko pramukh samudrik shetra ko karyakram Pokhara ho. Pokhara ko jhil, Phewa Jhil, ra pratibimb le paryatan ko mahatva badhayecha.",Nepal ko pramukh samudrik shetra kahan cha?,Nepal ko pramukh samudrik shetra Pokhara ho.
translate,"Translate the given text from Roman Nepali language to English language.
",,"mero daaju le aaja naya bike kinera ghar lyaune plan gareko thiyo. aba hamile ta bike ko purai color ani design herera ekdam discuss garera decision banako thiyo. jab bike ghar ma aayo, sabai jana excited bhaera usko test ride herda ekdam ramailo lagyo. aba aba yo day mero daaju ko special moment ko lagi memorable bancha jasto lagcha.","Today, my elder brother planned to bring home a new bike. We had discussed and decided on the color and design beforehand. When the bike arrived, everyone was excited, and it was so much fun watching him take it for a test ride. This day feels like it will always be memorable for my brotherâ€™s special moment."
translate,Translate the text below from Nepali to English:, ,Aaja mero laptop ko battery ekdamai chito sakincha. Naya kinna parne bhaeko cha.,Today my laptop battery drains very quickly. I need to buy a new one.
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",iPhone ko price kati ho?,iPhone ko price Rs. 100000 ho.
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 99001, Water-Resistant: Yes, IP67 rating.",Yo product ko water-resistant ho? Product ID: 99001,"Hajur, product ID: 99001 water-resistant ho. IP67 rating cha."
translate,Translate the text below from English to Nepali:, ,The art and craft industry in Nepal is thriving. Many artisans are creating beautiful handmade products that are popular both locally and internationally.,"Nepal ko art ra craft industry thrive hudai chha. Dherai artisans le sundar handmade products create gariraheka chhan, jo locally ra internationally donai maa popular chhan."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ma sabai bhanda dherai bhasha haru ko prayog Nepal ko purba ra pashchima ma garincha, jaha thulo matra ma tribhuvan university ko adhikarit bhasha haru jasta Nepali, Maithili, Bhojpuri, Magar, ra Tamang chha. Prithvi Narayan Shah le Nepal ko ekikaran garne samayma, Nepal ko bhasha ra samajik vyavastha ko ek alag alag bhasha haru ko upayog garincha. Kathmandu valley ko anek bhasha ra rang ko mishran cha, jaha samudayik bhasha ko mahatva pani cha.",Nepal ma sabai bhanda dherai bhasha haru ko prayog kahaan garincha?,"Nepal ko purba ra pashchima ma, anek bhasha haru jasta Nepali, Maithili, Bhojpuri, Magar, ra Tamang ko upayog garincha. Bhasha ko vividhta, Nepal ko samajik aur sanskritik virasat ko ek mahatvapurn hissa ho."
open_qa,You are a helpful assistant. Answer the given user question.,Windows Defender use garne process.,Tapai kasari computer ma virus scan garna saknuhuncha?,"Settings kholnus, Update & Security ma janus, ani Windows Security bata full scan run garnus."
RAG,Answer the following question by looking at the context if context is given.,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi installment ma tirna sakchu?,"Hajur, installment ma payment garna mildaina. Tapailai Credit/Debit Card, Esewa, Khalti, ya Cash on Delivery use garna sakincha."
translate,Translate the text below from Nepali to English:, ,"Aajai maile mero old friend lai bhetna gayeko thiye, dherai din dekhi bheteko thiyeina. Hamile dherai kura haru share gareu, ani tyo old memories haru refresh bhayo. Friendship ta ekdamai valuable xa.","Today I went to meet my old friend; we hadn’t met in a long time. We shared so many things, and those old memories came back. Friendship is so valuable."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma radio broadcasting sabai bhanda pahila kata suru bhayo?,"Radio Nepal, Kathmandu."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali lokchha ma ek prasiddha mithai ra tyo ko anand lekhnu.,"Sweets like Ladoo are an important part of Nepali festivals, bringing joy and representing cultural celebration."
RAG,Answer the following question by looking at the context if context is given.,"Nepali cuisine primarily consists of Dal Bhat Tarkari, a staple meal. Other popular dishes include momo, sel roti, gundruk, and dhido, reflecting the diversity of Nepal's culture.",Nepali khana ko barema bataunus.,"Nepali khana ma Dal Bhat Tarkari mukhya ho. Momo, sel roti, gundruk, ra dhido jasta dishes le Nepal ko diverse culture lai dekhauncha."
open_qa,You are a helpful assistant. Answer the given user question., ,Ke cha?,Sabai ramro cha! Tapaiko shopping journey ma kasari madat garna sakchhu?
RAG,Answer the following question by looking at the context if context is given.,"Dashain and Tihar are two major festivals celebrated in Nepal. Dashain symbolizes the victory of good over evil, while Tihar is known as the festival of lights and honors animals like crows, dogs, and cows.",Nepal ma manine chad haru ko barema bataunus.,"Nepal ma Dashain ra Tihar dherai important chad haru hun. Dashain le ramrai ko jeet lai pratik garcha, ra Tihar lights ko festival ho, jasma crows, dogs, ra cows lai puja garincha."
translate,Translate the text below from Nepali to English:, ,Naya park le mancheharuko lagi aaram garna ra prakritiko ananda lina euta lokpriya thau banaideko cha.,The new park has become a popular spot for people to relax and enjoy nature.
RAG,Answer the following question by looking at the context if context is given.,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment retry limit kati ho?,"Hajur, payment retry ko limit 3 attempts ho. 3 choti fail bhayo bhane arko payment method use garnuhos."
open_qa,You are a helpful assistant. Answer the given user question.,,World ma sabai bhanda purano university kun ho?,Nalanda University.
RAG,Answer the following question by looking at the context if context is given.,Hamro shop ko location Lalitpur ko Pulchowk ma cha ra yo Pulchowk vanda 5 minutes walk tadha xa. Yaha electronics ra gadgets haru milcha.,Hamro shop ko location kahaan cha?,Hamro shop ko location Lalitpur ko Pulchowk ma cha ra yo Pulchowk vanda 5 minutes walk tadha xa.
