query,response
Kun shipping method safe ho?,Express shipping method safe ho.
Kun shipping method ko charge kam ho?,Standard shipping method ko charge sabai bhanda kam ho.
Kun shipping method sabai bhanda reliable ho?,Express shipping method sabai bhanda reliable ho.
Shipping method kasari choose garne?,Shipping method choose garna ko lagi options ko barema padnus.
Kun shipping method sabai bhanda reliable ani chhito ho?,Express shipping method sabai bhanda reliable ani chhito ho.
Shipping method ko lagat kati ho?,Shipping method ko lagat delivery location ani method anusaar farak hunchha.
Kun shipping method dherai manparcha?,Customer haru lai express shipping method dherai manparcha.
Shipping method ka kasari kaam garne?,Shipping method order ko barema email ma janakari pathaune garincha.
Timi haru ko shipping method ma k k include chha?,Hamro shipping method ma packaging ani tracking number pani include chha.
Mero shipment kahile aaune ho?,"Mafi chahanchhau, tapai ko shipment bato ma chha."
"Shipment deri bhayo, aba kahile aauchha?","Shipment deri bhayo, tapain lai jaldai update garinchha."
Mero order aauna kati din lagi sakyo?,"Order aauna thap samay lagi sakyo, dhairyata garnuhos."
Shipment kaha pugyo jasto chhaina?,Shipment trakking ma samasya aayeko chha.
Shipment track garna milchha?,Shipment track garna link pathauna milchha.
Shipment deri hunechha ki?,"Deri ko lagi mafi chahanchha, shipment bato ma chha."
Mero order ko status ke ho?,Tapai ko order ko status update gareko chha.
Order deri huna sakchha bhane ta?,Deri bhaya bhane ta jankari pathauna milchha.
Shipment deri bhaye k garne?,"Shipment deri bhaye, samasya samadhan ko lagi contact garnuhos."
Mero shipment ko update pathaunus na?,Shipment update pathaune ko koshish ma chhau.
Order deri bhayo bhane k garne?,Order deri bhaye contact support garnuhos.
Shipment kaha pugyo ra?,Shipment kaha pugyo tracking garna sakchhu.
Mero order ko status kahile update hunchha?,Order ko status update garnuhos.
Order aaune ni ta?,Order aauna ma thap samay lagi sakyo.
Mero shipment kati samay samma aaune ho?,"Shipment bato ma chha, kati samay lagchha update garna sakinchha."
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni ta?,"Shipment derai bhayo, mafi chahanchha."
Mero order ko tracking garna sakchhu?,Order ko tracking garna link chha.
Shipment aauna katiko deri hunchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kati samay lagchha?,Order ko update pathauna milchha.
Mero shipment kahile aaune ho?,"Mafi chahanchhau, tapai ko shipment bato ma chha."
"Shipment deri bhayo, aba kahile aauchha?","Shipment deri bhayo, tapain lai jaldai update garinchha."
Mero order aauna kati din lagi sakyo?,"Order aauna thap samay lagi sakyo, dhairyata garnuhos."
Shipment kaha pugyo jasto chhaina?,Shipment trakking ma samasya aayeko chha.
Shipment track garna milchha?,Shipment track garna link pathauna milchha.
Shipment deri hunechha ki?,"Deri ko lagi mafi chahanchha, shipment bato ma chha."
Mero order ko status ke ho?,Tapai ko order ko status update gareko chha.
Order deri huna sakchha bhane ta?,Deri bhaya bhane ta jankari pathauna milchha.
Shipment deri bhaye k garne?,"Shipment deri bhaye, samasya samadhan ko lagi contact garnuhos."
Mero shipment ko update pathaunus na?,Shipment update pathaune ko koshish ma chhau.
Order deri bhayo bhane k garne?,Order deri bhaye contact support garnuhos.
Shipment kaha pugyo ra?,Shipment kaha pugyo tracking garna sakchhu.
Mero order ko status kahile update hunchha?,Order ko status update garnuhos.
Order aaune ni ta?,Order aauna ma thap samay lagi sakyo.
Mero shipment kati samay samma aaune ho?,"Shipment bato ma chha, kati samay lagchha update garna sakinchha."
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni ta?,"Shipment derai bhayo, mafi chahanchha."
Mero order ko tracking garna sakchhu?,Order ko tracking garna link chha.
Shipment aauna katiko deri hunchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kati samay lagchha?,Order ko update pathauna milchha.
Mero shipment kahile aaune ho?,"Mafi chahanchhau, tapai ko shipment bato ma chha."
"Shipment deri bhayo, aba kahile aauchha?","Shipment deri bhayo, tapain lai jaldai update garinchha."
Mero order aauna kati din lagi sakyo?,"Order aauna thap samay lagi sakyo, dhairyata garnuhos."
Shipment kaha pugyo jasto chhaina?,Shipment trakking ma samasya aayeko chha.
Shipment track garna milchha?,Shipment track garna link pathauna milchha.
Shipment deri hunechha ki?,"Deri ko lagi mafi chahanchha, shipment bato ma chha."
Mero order ko status ke ho?,Tapai ko order ko status update gareko chha.
Order deri huna sakchha bhane ta?,Deri bhaya bhane ta jankari pathauna milchha.
Shipment deri bhaye k garne?,"Shipment deri bhaye, samasya samadhan ko lagi contact garnuhos."
Mero shipment ko update pathaunus na?,Shipment update pathaune ko koshish ma chhau.
Order deri bhayo bhane k garne?,Order deri bhaye contact support garnuhos.
Shipment kaha pugyo ra?,Shipment kaha pugyo tracking garna sakchhu.
Mero order ko status kahile update hunchha?,Order ko status update garnuhos.
Order aaune ni ta?,Order aauna ma thap samay lagi sakyo.
Mero shipment kati samay samma aaune ho?,"Shipment bato ma chha, kati samay lagchha update garna sakinchha."
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni ta?,"Shipment derai bhayo, mafi chahanchha."
Mero order ko tracking garna sakchhu?,Order ko tracking garna link chha.
Shipment aauna katiko deri hunchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kati samay lagchha?,Order ko update pathauna milchha.
Mero shipment kahile aaune ho?,"Mafi chahanchhau, tapai ko shipment bato ma chha."
"Shipment deri bhayo, aba kahile aauchha?","Shipment deri bhayo, tapain lai jaldai update garinchha."
Mero order aauna kati din lagi sakyo?,"Order aauna thap samay lagi sakyo, dhairyata garnuhos."
Shipment kaha pugyo jasto chhaina?,Shipment trakking ma samasya aayeko chha.
Shipment track garna milchha?,Shipment track garna link pathauna milchha.
Shipment deri hunechha ki?,"Deri ko lagi mafi chahanchha, shipment bato ma chha."
Mero order ko status ke ho?,Tapai ko order ko status update gareko chha.
Order deri huna sakchha bhane ta?,Deri bhaya bhane ta jankari pathauna milchha.
Shipment deri bhaye k garne?,"Shipment deri bhaye, samasya samadhan ko lagi contact garnuhos."
Mero shipment ko update pathaunus na?,Shipment update pathaune ko koshish ma chhau.
Order deri bhayo bhane k garne?,Order deri bhaye contact support garnuhos.
Shipment kaha pugyo ra?,Shipment kaha pugyo tracking garna sakchhu.
Mero order ko status kahile update hunchha?,Order ko status update garnuhos.
Order aaune ni ta?,Order aauna ma thap samay lagi sakyo.
Mero shipment kati samay samma aaune ho?,"Shipment bato ma chha, kati samay lagchha update garna sakinchha."
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni ta?,"Shipment derai bhayo, mafi chahanchha."
Mero order ko tracking garna sakchhu?,Order ko tracking garna link chha.
Shipment aauna katiko deri hunchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kati samay lagchha?,Order ko update pathauna milchha.
Mero shipment kahile aaune ho?,"Mafi chahanchhau, tapai ko shipment bato ma chha."
"Shipment deri bhayo, aba kahile aauchha?","Shipment deri bhayo, tapain lai jaldai update garinchha."
Mero order aauna kati din lagi sakyo?,"Order aauna thap samay lagi sakyo, dhairyata garnuhos."
Shipment kaha pugyo jasto chhaina?,Shipment trakking ma samasya aayeko chha.
Shipment track garna milchha?,Shipment track garna link pathauna milchha.
Shipment deri hunechha ki?,"Deri ko lagi mafi chahanchha, shipment bato ma chha."
Mero order ko status ke ho?,Tapai ko order ko status update gareko chha.
Order deri huna sakchha bhane ta?,Deri bhaya bhane ta jankari pathauna milchha.
Shipment deri bhaye k garne?,"Shipment deri bhaye, samasya samadhan ko lagi contact garnuhos."
Mero shipment ko update pathaunus na?,Shipment update pathaune ko koshish ma chhau.
Order deri bhayo bhane k garne?,Order deri bhaye contact support garnuhos.
Shipment kaha pugyo ra?,Shipment kaha pugyo tracking garna sakchhu.
Mero order ko status kahile update hunchha?,Order ko status update garnuhos.
Order aaune ni ta?,Order aauna ma thap samay lagi sakyo.
Mero shipment kati samay samma aaune ho?,"Shipment bato ma chha, kati samay lagchha update garna sakinchha."
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni ta?,"Shipment derai bhayo, mafi chahanchha."
Mero order ko tracking garna sakchhu?,Order ko tracking garna link chha.
Shipment aauna katiko deri hunchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kati samay lagchha?,Order ko update pathauna milchha.
"Mero shipment deri bhayo, kina?","Mafi chahanchhau, shipment ma deri bhayo."
"Shipment aauna kati din lagi sakyo, kina deri?","Shipment aauna deri bhayo, maafi chahanchhau."
Mero order kahile samma aauchha?,"Order aauna thap samay lagchha, dhairyata garnuhos."
"Shipment kaha pugyo, kina update chaina?",Shipment tracking update huna samasya chha.
Shipment track garna milchha ki namilne?,Shipment track garna link pathauna milchha.
Shipment deri hune karan ke ho?,Deri ko karan shipment delay chha.
Mero order ko status kina update huna nasakyo?,Tapai ko order ko status update ma samasya chha.
Order deri huna ta milcha tara kina?,"Deri bhaye, shipment tracking update garne koshish ma chha."
"Shipment deri bhaye, aba ke garne?",Shipment deri bhaye contact garnuhos.
Mero shipment ko update kahile pathaunus?,Shipment update pathauna samasya chha.
Order deri bhaye k garne bhaneko ke ho?,Order deri bhaye support contact garnuhos.
Shipment kaha pugyo ra kina update chaina?,Shipment kaha pugyo update garna koshish chha.
Mero order ko status kahile update hunchha?,Order ko status update garna samasya aayo.
Order aauna ni kina deri vayo?,Order aauna thap samay lagi sakyo.
Mero shipment aauna kati time lagchha?,Shipment aauna kati time lagchha update garna koshish chha.
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni kina?,"Shipment derai bhayo, mafi chahanchhau."
Mero order ko tracking garna milchha?,Order ko tracking garna link chha.
Shipment aauna derai time lagchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kina samay lagchha?,Order ko update pathauna samasya chha.
"Mero shipment deri bhayo, kina?","Mafi chahanchhau, shipment ma deri bhayo."
"Shipment aauna kati din lagi sakyo, kina deri?","Shipment aauna deri bhayo, maafi chahanchhau."
Mero order kahile samma aauchha?,"Order aauna thap samay lagchha, dhairyata garnuhos."
"Shipment kaha pugyo, kina update chaina?",Shipment tracking update huna samasya chha.
Shipment track garna milchha ki namilne?,Shipment track garna link pathauna milchha.
Shipment deri hune karan ke ho?,Deri ko karan shipment delay chha.
Mero order ko status kina update huna nasakyo?,Tapai ko order ko status update ma samasya chha.
Order deri huna ta milcha tara kina?,"Deri bhaye, shipment tracking update garne koshish ma chha."
"Shipment deri bhaye, aba ke garne?",Shipment deri bhaye contact garnuhos.
Mero shipment ko update kahile pathaunus?,Shipment update pathauna samasya chha.
Order deri bhaye k garne bhaneko ke ho?,Order deri bhaye support contact garnuhos.
Shipment kaha pugyo ra kina update chaina?,Shipment kaha pugyo update garna koshish chha.
Mero order ko status kahile update hunchha?,Order ko status update garna samasya aayo.
Order aauna ni kina deri vayo?,Order aauna thap samay lagi sakyo.
Mero shipment aauna kati time lagchha?,Shipment aauna kati time lagchha update garna koshish chha.
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni kina?,"Shipment derai bhayo, mafi chahanchhau."
Mero order ko tracking garna milchha?,Order ko tracking garna link chha.
Shipment aauna derai time lagchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kina samay lagchha?,Order ko update pathauna samasya chha.
"Mero shipment deri bhayo, kina?","Mafi chahanchhau, shipment ma deri bhayo."
"Shipment aauna kati din lagi sakyo, kina deri?","Shipment aauna deri bhayo, maafi chahanchhau."
Mero order kahile samma aauchha?,"Order aauna thap samay lagchha, dhairyata garnuhos."
"Shipment kaha pugyo, kina update chaina?",Shipment tracking update huna samasya chha.
Shipment track garna milchha ki namilne?,Shipment track garna link pathauna milchha.
Shipment deri hune karan ke ho?,Deri ko karan shipment delay chha.
Mero order ko status kina update huna nasakyo?,Tapai ko order ko status update ma samasya chha.
Order deri huna ta milcha tara kina?,"Deri bhaye, shipment tracking update garne koshish ma chha."
"Shipment deri bhaye, aba ke garne?",Shipment deri bhaye contact garnuhos.
Mero shipment ko update kahile pathaunus?,Shipment update pathauna samasya chha.
Order deri bhaye k garne bhaneko ke ho?,Order deri bhaye support contact garnuhos.
Shipment kaha pugyo ra kina update chaina?,Shipment kaha pugyo update garna koshish chha.
Mero order ko status kahile update hunchha?,Order ko status update garna samasya aayo.
Order aauna ni kina deri vayo?,Order aauna thap samay lagi sakyo.
Mero shipment aauna kati time lagchha?,Shipment aauna kati time lagchha update garna koshish chha.
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni kina?,"Shipment derai bhayo, mafi chahanchhau."
Mero order ko tracking garna milchha?,Order ko tracking garna link chha.
Shipment aauna derai time lagchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kina samay lagchha?,Order ko update pathauna samasya chha.
"Mero shipment deri bhayo, kina?","Mafi chahanchhau, shipment ma deri bhayo."
"Shipment aauna kati din lagi sakyo, kina deri?","Shipment aauna deri bhayo, maafi chahanchhau."
Mero order kahile samma aauchha?,"Order aauna thap samay lagchha, dhairyata garnuhos."
"Shipment kaha pugyo, kina update chaina?",Shipment tracking update huna samasya chha.
Shipment track garna milchha ki namilne?,Shipment track garna link pathauna milchha.
Shipment deri hune karan ke ho?,Deri ko karan shipment delay chha.
Mero order ko status kina update huna nasakyo?,Tapai ko order ko status update ma samasya chha.
Order deri huna ta milcha tara kina?,"Deri bhaye, shipment tracking update garne koshish ma chha."
"Shipment deri bhaye, aba ke garne?",Shipment deri bhaye contact garnuhos.
Mero shipment ko update kahile pathaunus?,Shipment update pathauna samasya chha.
Order deri bhaye k garne bhaneko ke ho?,Order deri bhaye support contact garnuhos.
Shipment kaha pugyo ra kina update chaina?,Shipment kaha pugyo update garna koshish chha.
Mero order ko status kahile update hunchha?,Order ko status update garna samasya aayo.
Order aauna ni kina deri vayo?,Order aauna thap samay lagi sakyo.
Mero shipment aauna kati time lagchha?,Shipment aauna kati time lagchha update garna koshish chha.
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni kina?,"Shipment derai bhayo, mafi chahanchhau."
Mero order ko tracking garna milchha?,Order ko tracking garna link chha.
Shipment aauna derai time lagchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kina samay lagchha?,Order ko update pathauna samasya chha.
"Mero shipment deri bhayo, kina?","Mafi chahanchhau, shipment ma deri bhayo."
"Shipment aauna kati din lagi sakyo, kina deri?","Shipment aauna deri bhayo, maafi chahanchhau."
Mero order kahile samma aauchha?,"Order aauna thap samay lagchha, dhairyata garnuhos."
"Shipment kaha pugyo, kina update chaina?",Shipment tracking update huna samasya chha.
Shipment track garna milchha ki namilne?,Shipment track garna link pathauna milchha.
Shipment deri hune karan ke ho?,Deri ko karan shipment delay chha.
Mero order ko status kina update huna nasakyo?,Tapai ko order ko status update ma samasya chha.
Order deri huna ta milcha tara kina?,"Deri bhaye, shipment tracking update garne koshish ma chha."
"Shipment deri bhaye, aba ke garne?",Shipment deri bhaye contact garnuhos.
Mero shipment ko update kahile pathaunus?,Shipment update pathauna samasya chha.
Order deri bhaye k garne bhaneko ke ho?,Order deri bhaye support contact garnuhos.
Shipment kaha pugyo ra kina update chaina?,Shipment kaha pugyo update garna koshish chha.
Mero order ko status kahile update hunchha?,Order ko status update garna samasya aayo.
Order aauna ni kina deri vayo?,Order aauna thap samay lagi sakyo.
Mero shipment aauna kati time lagchha?,Shipment aauna kati time lagchha update garna koshish chha.
Mero order kaha pugyo?,Tapai ko order bato ma chha.
Shipment derai bhayo ni kina?,"Shipment derai bhayo, mafi chahanchhau."
Mero order ko tracking garna milchha?,Order ko tracking garna link chha.
Shipment aauna derai time lagchha?,Shipment aauna thap samay lagi sakyo.
Order ko update kina samay lagchha?,Order ko update pathauna samasya chha.
Mero delivery galat thiyo,"Maaf garnuhos, yo samasya ko lagi. Tapai ko sahayog garna maile sabai details bhetnu parchha."
Galat thau ma delivery bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Maile galat item paayen,"Maaf garnuhos, yo galti bhayeko chha. Maile samasya ko samadhan garnu parchha."
Maile arko ko item paayen,Tapai ko problem lai samadhan garnu ko lagi maile turanta sahayog garne chhu.
Mero packet arko ko ho,Maile yo samasya ko samadhan ko lagi turunta karyanwayan garne chhu.
Kahile delivery bhayo ho malai tha chhaina,"Maaf garnuhos, maile yo galti samadhan garnu parchha."
Mero address ma galat item pathaunu bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko details chaahinchha."
Maile order garnu bhanda farak item aayo,Tapai ko samasya lai turunta samadhan garna ko lagi maile sabai details bhetnu parchha.
Mero packet ko address thik chhaina,"Maaf garnuhos, maile turunta yo samasya samadhan garne chhu."
Mero order arko ko address ma pathayo,"Tapai ko order ko details chaahinchha, maile samasya ko samadhan garnu parchha."
Kahile order deliver garna ho galti bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details chaahinchha."
Mero order exchange bhayo,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Mero delivery address thik chhaina,"Tapai ko delivery address thik chha ki check garnuhos, maile yo samasya samadhan garnu parchha."
Mero order ma alikati problem chha,"Maaf garnuhos, yo samasya lai maile turunta samadhan garne chhu."
Mero delivery galat jaga ma pathayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details pathauna saknu hunchha?"
Mero packet thik thau ma chhaina,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Maile farak product paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta karyanwayan garne chhu.
Mero order galat address ma gayo,"Maile yo samasya ko samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Mero item arko ko thiyo,"Maaf garnuhos, yo galti ko lagi. Maile turunta yo samasya samadhan garne chhu."
Galti le arko ko order paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta sabai details bhetnu parchha.
Mero delivery galat thiyo,"Maaf garnuhos, yo samasya ko lagi. Tapai ko sahayog garna maile sabai details bhetnu parchha."
Galat thau ma delivery bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Maile galat item paayen,"Maaf garnuhos, yo galti bhayeko chha. Maile samasya ko samadhan garnu parchha."
Maile arko ko item paayen,Tapai ko problem lai samadhan garnu ko lagi maile turanta sahayog garne chhu.
Mero packet arko ko ho,Maile yo samasya ko samadhan ko lagi turunta karyanwayan garne chhu.
Kahile delivery bhayo ho malai tha chhaina,"Maaf garnuhos, maile yo galti samadhan garnu parchha."
Mero address ma galat item pathaunu bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko details chaahinchha."
Maile order garnu bhanda farak item aayo,Tapai ko samasya lai turunta samadhan garna ko lagi maile sabai details bhetnu parchha.
Mero packet ko address thik chhaina,"Maaf garnuhos, maile turunta yo samasya samadhan garne chhu."
Mero order arko ko address ma pathayo,"Tapai ko order ko details chaahinchha, maile samasya ko samadhan garnu parchha."
Kahile order deliver garna ho galti bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details chaahinchha."
Mero order exchange bhayo,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Mero delivery address thik chhaina,"Tapai ko delivery address thik chha ki check garnuhos, maile yo samasya samadhan garnu parchha."
Mero order ma alikati problem chha,"Maaf garnuhos, yo samasya lai maile turunta samadhan garne chhu."
Mero delivery galat jaga ma pathayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details pathauna saknu hunchha?"
Mero packet thik thau ma chhaina,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Maile farak product paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta karyanwayan garne chhu.
Mero order galat address ma gayo,"Maile yo samasya ko samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Mero item arko ko thiyo,"Maaf garnuhos, yo galti ko lagi. Maile turunta yo samasya samadhan garne chhu."
Galti le arko ko order paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta sabai details bhetnu parchha.
Mero delivery galat thiyo,"Maaf garnuhos, yo samasya ko lagi. Tapai ko sahayog garna maile sabai details bhetnu parchha."
Galat thau ma delivery bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Maile galat item paayen,"Maaf garnuhos, yo galti bhayeko chha. Maile samasya ko samadhan garnu parchha."
Maile arko ko item paayen,Tapai ko problem lai samadhan garnu ko lagi maile turanta sahayog garne chhu.
Mero packet arko ko ho,Maile yo samasya ko samadhan ko lagi turunta karyanwayan garne chhu.
Kahile delivery bhayo ho malai tha chhaina,"Maaf garnuhos, maile yo galti samadhan garnu parchha."
Mero address ma galat item pathaunu bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko details chaahinchha."
Maile order garnu bhanda farak item aayo,Tapai ko samasya lai turunta samadhan garna ko lagi maile sabai details bhetnu parchha.
Mero packet ko address thik chhaina,"Maaf garnuhos, maile turunta yo samasya samadhan garne chhu."
Mero order arko ko address ma pathayo,"Tapai ko order ko details chaahinchha, maile samasya ko samadhan garnu parchha."
Kahile order deliver garna ho galti bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details chaahinchha."
Mero order exchange bhayo,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Mero delivery address thik chhaina,"Tapai ko delivery address thik chha ki check garnuhos, maile yo samasya samadhan garnu parchha."
Mero order ma alikati problem chha,"Maaf garnuhos, yo samasya lai maile turunta samadhan garne chhu."
Mero delivery galat jaga ma pathayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details pathauna saknu hunchha?"
Mero packet thik thau ma chhaina,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Maile farak product paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta karyanwayan garne chhu.
Mero order galat address ma gayo,"Maile yo samasya ko samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Mero item arko ko thiyo,"Maaf garnuhos, yo galti ko lagi. Maile turunta yo samasya samadhan garne chhu."
Galti le arko ko order paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta sabai details bhetnu parchha.
Mero delivery galat thiyo,"Maaf garnuhos, yo samasya ko lagi. Tapai ko sahayog garna maile sabai details bhetnu parchha."
Galat thau ma delivery bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Maile galat item paayen,"Maaf garnuhos, yo galti bhayeko chha. Maile samasya ko samadhan garnu parchha."
Maile arko ko item paayen,Tapai ko problem lai samadhan garnu ko lagi maile turanta sahayog garne chhu.
Mero packet arko ko ho,Maile yo samasya ko samadhan ko lagi turunta karyanwayan garne chhu.
Kahile delivery bhayo ho malai tha chhaina,"Maaf garnuhos, maile yo galti samadhan garnu parchha."
Mero address ma galat item pathaunu bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko details chaahinchha."
Maile order garnu bhanda farak item aayo,Tapai ko samasya lai turunta samadhan garna ko lagi maile sabai details bhetnu parchha.
Mero packet ko address thik chhaina,"Maaf garnuhos, maile turunta yo samasya samadhan garne chhu."
Mero order arko ko address ma pathayo,"Tapai ko order ko details chaahinchha, maile samasya ko samadhan garnu parchha."
Kahile order deliver garna ho galti bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details chaahinchha."
Mero order exchange bhayo,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Mero delivery address thik chhaina,"Tapai ko delivery address thik chha ki check garnuhos, maile yo samasya samadhan garnu parchha."
Mero order ma alikati problem chha,"Maaf garnuhos, yo samasya lai maile turunta samadhan garne chhu."
Mero delivery galat jaga ma pathayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details pathauna saknu hunchha?"
Mero packet thik thau ma chhaina,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Maile farak product paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta karyanwayan garne chhu.
Mero order galat address ma gayo,"Maile yo samasya ko samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Mero item arko ko thiyo,"Maaf garnuhos, yo galti ko lagi. Maile turunta yo samasya samadhan garne chhu."
Galti le arko ko order paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta sabai details bhetnu parchha.
Mero delivery galat thiyo,"Maaf garnuhos, yo samasya ko lagi. Tapai ko sahayog garna maile sabai details bhetnu parchha."
Galat thau ma delivery bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Maile galat item paayen,"Maaf garnuhos, yo galti bhayeko chha. Maile samasya ko samadhan garnu parchha."
Maile arko ko item paayen,Tapai ko problem lai samadhan garnu ko lagi maile turanta sahayog garne chhu.
Mero packet arko ko ho,Maile yo samasya ko samadhan ko lagi turunta karyanwayan garne chhu.
Kahile delivery bhayo ho malai tha chhaina,"Maaf garnuhos, maile yo galti samadhan garnu parchha."
Mero address ma galat item pathaunu bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko details chaahinchha."
Maile order garnu bhanda farak item aayo,Tapai ko samasya lai turunta samadhan garna ko lagi maile sabai details bhetnu parchha.
Mero packet ko address thik chhaina,"Maaf garnuhos, maile turunta yo samasya samadhan garne chhu."
Mero order arko ko address ma pathayo,"Tapai ko order ko details chaahinchha, maile samasya ko samadhan garnu parchha."
Kahile order deliver garna ho galti bhayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details chaahinchha."
Mero order exchange bhayo,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Mero delivery address thik chhaina,"Tapai ko delivery address thik chha ki check garnuhos, maile yo samasya samadhan garnu parchha."
Mero order ma alikati problem chha,"Maaf garnuhos, yo samasya lai maile turunta samadhan garne chhu."
Mero delivery galat jaga ma pathayo,"Maile yo samasya samadhan garnu parchha, tapai ko order ko details pathauna saknu hunchha?"
Mero packet thik thau ma chhaina,"Maaf garnuhos, maile turunta yo samasya ko samadhan garne chhu."
Maile farak product paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta karyanwayan garne chhu.
Mero order galat address ma gayo,"Maile yo samasya ko samadhan garnu parchha, tapai ko order number pathauna saknu hunchha?"
Mero item arko ko thiyo,"Maaf garnuhos, yo galti ko lagi. Maile turunta yo samasya samadhan garne chhu."
Galti le arko ko order paayen,Tapai ko problem lai samadhan garna ko lagi maile turunta sabai details bhetnu parchha.
mero order galat thau ma pathayo,"hami yaslai sodhari rahechaun, kripaya dhairya garnuhos"
malaai aru thau ma delivery bhayo,"galti ko lagi khed chha, yo samadhan garne prayas gari rahiyeko chha"
delivery address thik chhaina,address thik garna ko lagi hami lai samparka garnuhos
order kunai arko thau ma pathaideko,hami tapaiko order lai thik thau ma delivery garna prayas gari rahechaun
galat address ma pathako rahechha,"hami lai address ko tathyak garnuhos, hami samadhan garna prayas garnechhaun"
malai galat delivery bhayo,"galti ko lagi khed chha, hami yaslai thik garna prayas gari rahiyeko chha"
yo mero address hoina,"yo bibad ko lagi khed chha, hami isko samadhan garnechhaun"
mero order aru thau ma pugi sakyo,"address thik chhaina, hami yaslai thik garna prayas gari rahiyeko chha"
mero address ma order pathaideko chhaina,"yo arko thau ma pathako rahechha, hami yaslai thik garnechhaun"
order arko thau ma pathaideko,hami tapaiko order thik thau ma pugchha bhanne pratiksha gardai chhaun
delivery galat thau ma bhayo,hami delivery ko galti thik garne prayas gari rahiyeko chha
galat address ma delivery bhayo,"address thik chhaina, yo thik garna prayas gari rahiyeko chha"
order thik thau ma pathaidinu,hami tapaiko order thik thau ma pathaune prayas gari rahiyeko chha
address thik chhaina,hami address thik garna prayas gari rahiyeko chhaun
order galat thau ma gayo,"yo galat thau ma pathako rahechha, hami yaslai sodharne prayas gari rahiyeko chha"
order galat thau ma pugyo,"yo galat thau ma pugi sakyo, hami thik thau ma pathaunechhaun"
