category,context,question,response,instruction,prompt,eval_prompt,model_generation
RAG,Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha. Refund ka lagi cancelation confirm bhaepachi 5-7 din lagcha. Discounts festive sale ko up to 70% cha.,Delivery slot reschedule possible cha ki nai?,Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery slot reschedule possible cha ki nai?
Context: Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha. Refund ka lagi cancelation confirm bhaepachi 5-7 din lagcha. Discounts festive sale ko up to 70% cha.<end_of_turn>
<start_of_turn>model
Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery slot reschedule possible cha ki nai?
Context: Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha. Refund ka lagi cancelation confirm bhaepachi 5-7 din lagcha. Discounts festive sale ko up to 70% cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery slot reschedule possible cha ki nai?
Context: Delivery slot reschedule garna checkout page ma 'Reschedule Delivery' option cha. Refund ka lagi cancelation confirm bhaepachi 5-7 din lagcha. Discounts festive sale ko up to 70% cha.<end_of_turn>
<start_of_turn>model
Hajur, delivery slot reschedule garna 'Reschedule Delivery' option cha checkout page ma.<eos>"
open_qa,Android phone ma dark mode kasari chalcha?,Tapai kasari smartphone ma dark mode enable garna saknuhuncha?,"Settings ma janus, Display option kholnus, ani Dark Mode enable garnus.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tapai kasari smartphone ma dark mode enable garna saknuhuncha?
Context: Android phone ma dark mode kasari chalcha?<end_of_turn>
<start_of_turn>model
Settings ma janus, Display option kholnus, ani Dark Mode enable garnus.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tapai kasari smartphone ma dark mode enable garna saknuhuncha?
Context: Android phone ma dark mode kasari chalcha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tapai kasari smartphone ma dark mode enable garna saknuhuncha?
Context: Android phone ma dark mode kasari chalcha?<end_of_turn>
<start_of_turn>model
Settings ma jaanuhos, Display ma januhos, ra Dark Theme enable garnu hos.<eos>"
alpaca, ,Nepali ma 'guitar' lai ke bhaninchha?,Nepali ma 'guitar' lai 'sitar' bhaninchha., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma 'guitar' lai ke bhaninchha?<end_of_turn>
<start_of_turn>model
Nepali ma 'guitar' lai 'sitar' bhaninchha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma 'guitar' lai ke bhaninchha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepali ma 'guitar' lai ke bhaninchha?<end_of_turn>
<start_of_turn>model
'Guitar' lai 'guitar' bhaninchha.<eos>"
translate, ,The benefits of a plant-based diet include reduced environmental impact and improved health.,Bautik aahar ko fayeda ma paryavaran prabhav kam huna ra swasthya sudharna samet chan.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The benefits of a plant-based diet include reduced environmental impact and improved health.<end_of_turn>
<start_of_turn>model
Bautik aahar ko fayeda ma paryavaran prabhav kam huna ra swasthya sudharna samet chan.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The benefits of a plant-based diet include reduced environmental impact and improved health.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The benefits of a plant-based diet include reduced environmental impact and improved health.<end_of_turn>
<start_of_turn>model
Plant-based diet ko benefits ma environmental impact kam huna ra swasthya sudharna samet chan.<eos>"
open_qa, ,Nepali dharmik puja ma sammilit ek pramukh samagri ra usko upayog lekhnu.,"Tika Nepali dharmik puja ma mukhya samagri ho, jun asirbad ra pavitrata ko pratik ho.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik puja ma sammilit ek pramukh samagri ra usko upayog lekhnu.<end_of_turn>
<start_of_turn>model
Tika Nepali dharmik puja ma mukhya samagri ho, jun asirbad ra pavitrata ko pratik ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik puja ma sammilit ek pramukh samagri ra usko upayog lekhnu.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik puja ma sammilit ek pramukh samagri ra usko upayog lekhnu.<end_of_turn>
<start_of_turn>model
Tila, puja ma sammilit samagri ho. Tilak, puja ko mool bhogi ko lagi use hudai chha.<eos>"
alpaca, ,Ekta motivational message lekhi dekhau.,"Afno sapana ma biswas rakh, aba aagadi ko ek ek kadam tyo sapana lai pura garchha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ekta motivational message lekhi dekhau.<end_of_turn>
<start_of_turn>model
Afno sapana ma biswas rakh, aba aagadi ko ek ek kadam tyo sapana lai pura garchha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ekta motivational message lekhi dekhau.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Ekta motivational message lekhi dekhau.<end_of_turn>
<start_of_turn>model
Aaja maile kura garne, sochne, ra afno kaam ma mehnat garne, afno life ma dherai progress garna sakchu bhanne soxna parcha.<eos>"
RAG,"Product available: Dell Inspiron Laptop, Price: Rs. 45000. HP Pavilion Laptop, Price: Rs. 55000. MacBook Air, Price: Rs. 95000.",MacBook Air available cha?,"Ho, MacBook Air available cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
MacBook Air available cha?
Context: Product available: Dell Inspiron Laptop, Price: Rs. 45000. HP Pavilion Laptop, Price: Rs. 55000. MacBook Air, Price: Rs. 95000.<end_of_turn>
<start_of_turn>model
Ho, MacBook Air available cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
MacBook Air available cha?
Context: Product available: Dell Inspiron Laptop, Price: Rs. 45000. HP Pavilion Laptop, Price: Rs. 55000. MacBook Air, Price: Rs. 95000.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
MacBook Air available cha?
Context: Product available: Dell Inspiron Laptop, Price: Rs. 45000. HP Pavilion Laptop, Price: Rs. 55000. MacBook Air, Price: Rs. 95000.<end_of_turn>
<start_of_turn>model
Ho, MacBook Air available cha.<eos>"
translate, ,The rapid advancement of technology has both positive and negative impacts on society.,Prabidhiko drut pragati le samaj ma dherai ramro ra naramro prabhav haru paryaucha.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The rapid advancement of technology has both positive and negative impacts on society.<end_of_turn>
<start_of_turn>model
Prabidhiko drut pragati le samaj ma dherai ramro ra naramro prabhav haru paryaucha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The rapid advancement of technology has both positive and negative impacts on society.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The rapid advancement of technology has both positive and negative impacts on society.<end_of_turn>
<start_of_turn>model
Technology ko rapid advancement le society maa positive ra negative dono prabhav garcha.<eos>"
RAG,"BiratGadget, Biratnagar-7, Devkota Chowk ma hami mobiles, tablets, ra camera accessories bechchhau. Hamro saman branded ra warranty ka saathma aauchha. Delivery quick chha.",BiratGadget ma Canon EOS R10 camera cha?,"Canon EOS R10 camera available chha. Price: Rs. 1,40,000. Model: Kit Lens 18-45mm included. Warranty: 1 barsha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
BiratGadget ma Canon EOS R10 camera cha?
Context: BiratGadget, Biratnagar-7, Devkota Chowk ma hami mobiles, tablets, ra camera accessories bechchhau. Hamro saman branded ra warranty ka saathma aauchha. Delivery quick chha.<end_of_turn>
<start_of_turn>model
Canon EOS R10 camera available chha. Price: Rs. 1,40,000. Model: Kit Lens 18-45mm included. Warranty: 1 barsha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
BiratGadget ma Canon EOS R10 camera cha?
Context: BiratGadget, Biratnagar-7, Devkota Chowk ma hami mobiles, tablets, ra camera accessories bechchhau. Hamro saman branded ra warranty ka saathma aauchha. Delivery quick chha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
BiratGadget ma Canon EOS R10 camera cha?
Context: BiratGadget, Biratnagar-7, Devkota Chowk ma hami mobiles, tablets, ra camera accessories bechchhau. Hamro saman branded ra warranty ka saathma aauchha. Delivery quick chha.<end_of_turn>
<start_of_turn>model
Canon EOS R10 camera available chha. Price: Rs. 65,000. Stock: 1 piece.<eos>"
RAG,Product availability check garna product page ma 'Check Availability' option use garnuhos. Discounts festive season ma up to 50% cha. Refund cancel bhaepachi start hunchha.,Product availability kasari check garne?,Product availability check garna product page ma 'Check Availability' option use garnuhos.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Product availability kasari check garne?
Context: Product availability check garna product page ma 'Check Availability' option use garnuhos. Discounts festive season ma up to 50% cha. Refund cancel bhaepachi start hunchha.<end_of_turn>
<start_of_turn>model
Product availability check garna product page ma 'Check Availability' option use garnuhos.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Product availability kasari check garne?
Context: Product availability check garna product page ma 'Check Availability' option use garnuhos. Discounts festive season ma up to 50% cha. Refund cancel bhaepachi start hunchha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Product availability kasari check garne?
Context: Product availability check garna product page ma 'Check Availability' option use garnuhos. Discounts festive season ma up to 50% cha. Refund cancel bhaepachi start hunchha.<end_of_turn>
<start_of_turn>model
Product availability check garna 'Check Availability' option use garnuhos.<eos>"
RAG,"ShopSmart, Biratnagar-1, Airport Road ma saman Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge applicable chha.",Hajurko saman Biratnagar bhitra delivery free ho?,"Ho, Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge lagcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Hajurko saman Biratnagar bhitra delivery free ho?
Context: ShopSmart, Biratnagar-1, Airport Road ma saman Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
Ho, Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge lagcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Hajurko saman Biratnagar bhitra delivery free ho?
Context: ShopSmart, Biratnagar-1, Airport Road ma saman Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Hajurko saman Biratnagar bhitra delivery free ho?
Context: ShopSmart, Biratnagar-1, Airport Road ma saman Biratnagar bhitra delivery free chha. Itahari ra Dharan ma delivery charge applicable chha.<end_of_turn>
<start_of_turn>model
Ho, Biratnagar bhitra delivery free chha, tara Itahari ra Dharan ma delivery charge lagcha.<eos>"
alpaca,"Total weight chai order details ma dekhai huncha. Yadi tapai le shipping details chahiyeko bhaye, hami sanga contact garnu hola.",Mero order ma kati total weight cha?,Total weight order details ma dekhai huncha. Shipping details chahiyeko bhaye hami sanga contact garnus., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ma kati total weight cha?
Context: Total weight chai order details ma dekhai huncha. Yadi tapai le shipping details chahiyeko bhaye, hami sanga contact garnu hola.<end_of_turn>
<start_of_turn>model
Total weight order details ma dekhai huncha. Shipping details chahiyeko bhaye hami sanga contact garnus.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ma kati total weight cha?
Context: Total weight chai order details ma dekhai huncha. Yadi tapai le shipping details chahiyeko bhaye, hami sanga contact garnu hola.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ma kati total weight cha?
Context: Total weight chai order details ma dekhai huncha. Yadi tapai le shipping details chahiyeko bhaye, hami sanga contact garnu hola.<end_of_turn>
<start_of_turn>model
Total weight order details ma dekhai huncha. Shipping details chahiyo bhaye hami sanga contact garnu hola.<eos>"
RAG,"Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking",Smart locks ko price kati ho?,Godrej Advantis ko price 15000 ho.,Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
Godrej Advantis ko price 15000 ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Smart locks ko price kati ho?
Context: Product: Godrej Advantis, Price: 15000, Features: Fingerprint Access, RFID Card, Auto-Locking<end_of_turn>
<start_of_turn>model
Smart locks ko price 15000 ho. Isma fingerprint access, RFID card, ra auto-locking cha.<eos>"
RAG,"TechWorld, Hetauda-1, Central Chowk ma electronics showroom chha. Hetauda city ma free delivery chha. Aba saman ko order Rs. 4000 mathi gare Bharatpur, Narayangadh, ra Chitwan outskirts samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra purba ko kunai thau ma delivery garna sakidaina.",Pokhara ra Kathmandu ma delivery garna sakidaina?,Pokhara ra Kathmandu ma delivery garna sakidaina.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara ra Kathmandu ma delivery garna sakidaina?
Context: TechWorld, Hetauda-1, Central Chowk ma electronics showroom chha. Hetauda city ma free delivery chha. Aba saman ko order Rs. 4000 mathi gare Bharatpur, Narayangadh, ra Chitwan outskirts samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra purba ko kunai thau ma delivery garna sakidaina.<end_of_turn>
<start_of_turn>model
Pokhara ra Kathmandu ma delivery garna sakidaina.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara ra Kathmandu ma delivery garna sakidaina?
Context: TechWorld, Hetauda-1, Central Chowk ma electronics showroom chha. Hetauda city ma free delivery chha. Aba saman ko order Rs. 4000 mathi gare Bharatpur, Narayangadh, ra Chitwan outskirts samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra purba ko kunai thau ma delivery garna sakidaina.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Pokhara ra Kathmandu ma delivery garna sakidaina?
Context: TechWorld, Hetauda-1, Central Chowk ma electronics showroom chha. Hetauda city ma free delivery chha. Aba saman ko order Rs. 4000 mathi gare Bharatpur, Narayangadh, ra Chitwan outskirts samma delivery free garna milchha. Tara, Pokhara, Kathmandu ra purba ko kunai thau ma delivery garna sakidaina.<end_of_turn>
<start_of_turn>model
Pokhara ra Kathmandu ma delivery garna sakidaina.<eos>"
RAG,"Nepal ma delivery garna milcha, jun Kathmandu, Pokhara, Chitwan, ra remote village jasta sabai thau ma huncha. Delivery ko lagi Rs. 100 ko charge Kathmandu ma lagcha ra Rs. 200 Kathmandu bahira lagcha. Remote area ma delivery 7 din samma lagna sakcha.",Delivery Nepal ma garna milcha?,"Delivery Nepal ma garna milcha, Kathmandu dekhi remote area samma available chha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Nepal ma garna milcha?
Context: Nepal ma delivery garna milcha, jun Kathmandu, Pokhara, Chitwan, ra remote village jasta sabai thau ma huncha. Delivery ko lagi Rs. 100 ko charge Kathmandu ma lagcha ra Rs. 200 Kathmandu bahira lagcha. Remote area ma delivery 7 din samma lagna sakcha.<end_of_turn>
<start_of_turn>model
Delivery Nepal ma garna milcha, Kathmandu dekhi remote area samma available chha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Nepal ma garna milcha?
Context: Nepal ma delivery garna milcha, jun Kathmandu, Pokhara, Chitwan, ra remote village jasta sabai thau ma huncha. Delivery ko lagi Rs. 100 ko charge Kathmandu ma lagcha ra Rs. 200 Kathmandu bahira lagcha. Remote area ma delivery 7 din samma lagna sakcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Nepal ma garna milcha?
Context: Nepal ma delivery garna milcha, jun Kathmandu, Pokhara, Chitwan, ra remote village jasta sabai thau ma huncha. Delivery ko lagi Rs. 100 ko charge Kathmandu ma lagcha ra Rs. 200 Kathmandu bahira lagcha. Remote area ma delivery 7 din samma lagna sakcha.<end_of_turn>
<start_of_turn>model
Nepal ma delivery garna milcha, Kathmandu ma Rs. 100, bahira Rs. 200 charge cha.<eos>"
alpaca,Order status check garna tapai le hamro website ko 'Track Order' section ma gayera tapai ko order ID halnu parcha. Order ID confirmation email ma pathaieko huncha.,Mero order ko status k ho?,Order status check garna 'Track Order' section ma gayera order ID halnus. Order ID confirmation email ma pathaieko huncha., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ko status k ho?
Context: Order status check garna tapai le hamro website ko 'Track Order' section ma gayera tapai ko order ID halnu parcha. Order ID confirmation email ma pathaieko huncha.<end_of_turn>
<start_of_turn>model
Order status check garna 'Track Order' section ma gayera order ID halnus. Order ID confirmation email ma pathaieko huncha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ko status k ho?
Context: Order status check garna tapai le hamro website ko 'Track Order' section ma gayera tapai ko order ID halnu parcha. Order ID confirmation email ma pathaieko huncha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Mero order ko status k ho?
Context: Order status check garna tapai le hamro website ko 'Track Order' section ma gayera tapai ko order ID halnu parcha. Order ID confirmation email ma pathaieko huncha.<end_of_turn>
<start_of_turn>model
Hamro website ko 'Track Order' section ma gayera order ID halnu hos.<eos>"
alpaca,"Ma din ma chodcha, tara rat ma chodna sakdina. Ma ke ho?",Ekta riddle ko answer dekhau.,Answer: Chhaya (Shadow)., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ekta riddle ko answer dekhau.
Context: Ma din ma chodcha, tara rat ma chodna sakdina. Ma ke ho?<end_of_turn>
<start_of_turn>model
Answer: Chhaya (Shadow).","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ekta riddle ko answer dekhau.
Context: Ma din ma chodcha, tara rat ma chodna sakdina. Ma ke ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ekta riddle ko answer dekhau.
Context: Ma din ma chodcha, tara rat ma chodna sakdina. Ma ke ho?<end_of_turn>
<start_of_turn>model
Swas.<eos>"
alpaca, ,Timro Nepali traditional dress ma favorite item explain gar.,"Mero favorite Nepali traditional dress item ho 'Daura Suruwal', jun male ko traditional outfit ho.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Timro Nepali traditional dress ma favorite item explain gar.<end_of_turn>
<start_of_turn>model
Mero favorite Nepali traditional dress item ho 'Daura Suruwal', jun male ko traditional outfit ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Timro Nepali traditional dress ma favorite item explain gar.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Timro Nepali traditional dress ma favorite item explain gar.<end_of_turn>
<start_of_turn>model
Lungi, topi, ra jama Nepali traditional dress ma ekdam comfortable ra elegant lagcha.<eos>"
RAG,"Redmi Power Bank 20000 mAh (Price: 3000) ma dual USB output, fast charging support, ra lightweight design cha. Warranty 6 mahinako ho.",Redmi Power Bank ko capacity kati ho?,Redmi Power Bank ko capacity 20000 mAh ho.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Redmi Power Bank ko capacity kati ho?
Context: Redmi Power Bank 20000 mAh (Price: 3000) ma dual USB output, fast charging support, ra lightweight design cha. Warranty 6 mahinako ho.<end_of_turn>
<start_of_turn>model
Redmi Power Bank ko capacity 20000 mAh ho.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Redmi Power Bank ko capacity kati ho?
Context: Redmi Power Bank 20000 mAh (Price: 3000) ma dual USB output, fast charging support, ra lightweight design cha. Warranty 6 mahinako ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Redmi Power Bank ko capacity kati ho?
Context: Redmi Power Bank 20000 mAh (Price: 3000) ma dual USB output, fast charging support, ra lightweight design cha. Warranty 6 mahinako ho.<end_of_turn>
<start_of_turn>model
Redmi Power Bank 20000 mAh ko capacity 20000 mAh ho.<eos>"
open_qa, ,Nepal ma sabai bhanda purano mandir kun ho?,Pashupatinath.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda purano mandir kun ho?<end_of_turn>
<start_of_turn>model
Pashupatinath.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda purano mandir kun ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda purano mandir kun ho?<end_of_turn>
<start_of_turn>model
Pashupatinath Temple.<eos>"
translate, ,Can you help me with this?,Ke tapai mero sahayog garna saknuhuncha?,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Can you help me with this?<end_of_turn>
<start_of_turn>model
Ke tapai mero sahayog garna saknuhuncha?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Can you help me with this?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Can you help me with this?<end_of_turn>
<start_of_turn>model
Ke tapailai yo sahayog garna sakchu?<eos>"
translate, ,Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.,The importance of financial planning in achieving long-term goals cannot be underestimated.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
The importance of financial planning in achieving long-term goals cannot be underestimated.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Dhirastariya lakshya prapti ma arthik yojana ko mahattva lai kam aakalan garnu hunna.<end_of_turn>
<start_of_turn>model
The importance of economic planning in achieving long-term goals cannot be underestimated.<eos>"
